ID,Income,age,gender,account_type,credit_amount_apr,credit_count_apr,debit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,cc_cons
19427,MEDIUM,63,2,1,44630.5,1,63.0,48134.0,107662.02,61887.5,5,14,44884.9,369000.75,40,96,0.0
16150,MEDIUM,36,2,1,216770.95,1,10.0,31820.0,34376.79,36644.25,4,63,91073.84,243182.32,7,12,0.0
11749,MEDIUM,28,1,1,24878.0,33,55.0,1035431.79,140182.87,50121.0,6,82,96552.0,35467.0,16,42,0.0
11635,MEDIUM,32,2,1,224329.0,7,32.0,159847.0,42694.75,24917.0,2,78,18250.0,87204.35,2,10,0.0
8908,HIGH,32,2,1,43451.0,1,67.0,57312.04,146116.14,41381.0,3,171,83525.75,83992.0,21,12,0.0
6324,MEDIUM,33,1,1,1303.0,9,16.0,83054.0,61078.73,30841.0,3,8,11864.09,102657.5,47,12,0.0
538,MEDIUM,60,2,1,35477.0,26,18.0,63611.0,12052.74,10443.0,9,171,64559.78,89629.0,1,24,0.0
7908,MEDIUM,53,2,1,18529.0,1,46.0,18276.0,46729.81,45306.0,70,35,12579.4,112863.0,3,10,0.0
18674,LOW,60,2,1,52652.9,30,36.0,60578.0,10297.88,32416.0,1,8,32423.5,38792.88,58,13,0.0
19381,MEDIUM,33,2,1,37768.0,2,36.0,18859.0,150844.94,18935.0,2,7,237457.14,25033.6,7,83,0.0
5598,MEDIUM,47,2,1,64710.0,6,52.0,46574.0,19788.9,93492.0,45,7,80479.75,264788.0,21,0,0.0
4924,MEDIUM,33,2,1,19303.0,3,7.0,25.88,31197.07,62667.0,7,171,13963.61,19690.5,4,39,0.0
4154,MEDIUM,42,1,1,46824.0,7,11.0,99704.0,200595.34,26998.0,5,44,147313.62,255326.0,4,96,0.0
13570,MEDIUM,44,2,1,42349.23,3,10.0,15312.0,24761.5,47573.0,17,78,79741.0,35135.0,5,49,0.0
2203,MEDIUM,33,2,1,19739.0,3,59.0,11670.0,47011.7,10028.06,4,108,67181.6,74824.27,18,50,0.0
15095,MEDIUM,32,2,2,76468.0,13,10.0,17804.0,509616.75,23154.0,1,6,10895.56,29710.43,8,83,0.0
11974,MEDIUM,67,2,1,83059.0,0,39.0,52082.0,26734.21,106172.33,4,36,4190.88,33080.0,3,18,0.0
6036,LOW,53,2,1,57058.0,1,147.0,46718.0,27664.17,17722.0,0,82,32445.45,18021.0,4,3,0.0
17416,LOW,25,2,1,7512.25,2,72.0,22755.0,51907.93,19353.0,0,12,122754.54,63071.0,5,12,0.0
11158,HIGH,35,2,1,151537.81,4,147.0,44597.0,64390.88,13241.0,0,20,14802.85,296078.74,12,38,0.0
4426,LOW,46,2,1,251464.0,1,12.0,159993.0,36721.0,88897.36,43,108,41789.73,288592.75,3,1,0.0
19816,LOW,55,2,2,169930.0,13,94.0,63611.0,30662.27,10239.0,12,40,13715.0,79656.0,1,106,0.0
9506,HIGH,62,2,1,79040.0,0,55.0,27661.0,21852.63,12479.0,23,20,54446.55,32544.0,9,100,0.0
10927,MEDIUM,44,2,1,32437.0,4,42.0,47540.0,79651.38,49334.0,35,108,1753.0,345075.0,3,32,0.0
13046,MEDIUM,38,2,1,200749.0,31,55.0,15315.0,16702.78,118445.0,9,7,82039.0,46868.0,3,18,0.0
11811,LOW,30,2,1,44087.0,4,16.0,15621.0,56241.31,14296.0,0,81,7895.97,3297.52,2,72,0.0
16016,LOW,28,2,1,26345.0,36,24.0,38866.0,68338.5,77196.0,30,50,1107156.11,14264.0,117,37,0.0
5537,MEDIUM,33,2,1,116281.0,7,18.0,50368.94,5605.76,70831.0,7,81,63378.74,15024.0,4,103,0.0
18898,MEDIUM,47,2,1,58949.12,2,5.0,38139.0,85428.0,35364.0,2,24,45077.62,6338.0,62,133,0.0
7311,MEDIUM,222,2,1,30541.0,1,40.0,195632.0,12144.0,12664.0,2,1,233986.35,4216.0,62,57,0.0
7138,MEDIUM,40,2,1,22891.0,7,16.0,41010.0,2091.0,66592.0,11,27,144667.07,57212.0,40,32,0.0
15984,MEDIUM,54,2,1,24481.0,7,46.0,31925.0,1210025.36,7128.0,30,20,82782.17,43471.0,3,61,0.0
12054,MEDIUM,35,2,1,92323.0,0,39.0,179027.0,277272.02,258793.0,4,70,73862.0,123420.28,2,42,0.0
14239,MEDIUM,33,2,1,34968.0,31,11.0,25138.0,129566.96,130195.0,30,20,31769.26,105788.29,10,14,0.0
13501,MEDIUM,53,2,1,195383.26,9,5.0,38912.0,114896.75,30602.1,2,1,7974.5,26487.0,62,18,0.0
14836,MEDIUM,35,2,2,419387.0,30,29.0,40946.0,25153.0,50968.22,1,8,86683.25,93639.0,5,65,0.0
975,LOW,37,2,1,14479.0,0,87.0,64699.0,20901.0,37160.85,3,29,46390.39,23019.0,62,14,0.0
8078,MEDIUM,55,2,1,1054.0,3,16.0,23654.0,184646.72,60503.0,16,14,18905.75,99548.0,2,65,0.0
3778,LOW,37,2,1,37631.0,36,42.0,27954.0,13487.1,46272.5,4,5,68646.26,120588.0,62,35,0.0
16809,LOW,25,2,1,2562.0,1,63.0,22493.0,4147.0,7128.0,2,7,131280.0,160858.0,2,32,0.0
5354,MEDIUM,69,2,1,73921.0,1,3.0,17774.0,53363.42,388.05,6,104,14466.31,83271.0,21,96,0.0
14341,MEDIUM,53,2,1,10238.0,4,37.0,18987.0,33862.36,78966.0,23,5,18911.84,120035.0,8,17,0.0
